Company Name,Website,Source URL,City,Notes
ACT Biotech Inc,http://actbiotech.com/,https://en.wikipedia.org/wiki/ACT_Biotech_Inc,,From Pharma Companies Category
AMAG Pharmaceuticals,http://www.amagpharma.com/,https://en.wikipedia.org/wiki/AMAG_Pharmaceuticals,,From Pharma Companies Category
ATyr Pharma,http://atyrpharma.com,https://en.wikipedia.org/wiki/ATyr_Pharma,,From Pharma Companies Category
AbbVie,http://abbvie.com,https://en.wikipedia.org/wiki/AbbVie,,From Pharma Companies Category
Abbott Laboratories,http://abbott.com,https://en.wikipedia.org/wiki/Abbott_Laboratories,,From Pharma Companies Category
Acadia Pharmaceuticals,http://acadia.com,https://en.wikipedia.org/wiki/Acadia_Pharmaceuticals,,From Pharma Companies Category
Acceleron Pharma,http://acceleronpharma.com,https://en.wikipedia.org/wiki/Acceleron_Pharma,,From Pharma Companies Category
Acorda Therapeutics,http://acorda.com,https://en.wikipedia.org/wiki/Acorda_Therapeutics,,From Pharma Companies Category
Acura Pharmaceuticals,http://acurapharm.com/,https://en.wikipedia.org/wiki/Acura_Pharmaceuticals,,From Pharma Companies Category
Aerie Pharmaceuticals,http://aeriepharma.com,https://en.wikipedia.org/wiki/Aerie_Pharmaceuticals,,From Pharma Companies Category
Agios Pharmaceuticals,https://www.agios.com/about-us/,https://en.wikipedia.org/wiki/Agios_Pharmaceuticals,,From Pharma Companies Category
Alcon,https://alcon.com,https://en.wikipedia.org/wiki/Alcon,,From Pharma Companies Category
Alexander Shulgin Research Institute,https://shulginresearch.net/,https://en.wikipedia.org/wiki/Alexander_Shulgin_Research_Institute,,From Pharma Companies Category
Alexion Pharmaceuticals,http://www.alexion.com,https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals,,From Pharma Companies Category
Alimera Sciences,https://www.macrotrends.net/stocks/charts/ALIM/alimera-sciences/revenue,https://en.wikipedia.org/wiki/Alimera_Sciences,,From Pharma Companies Category
Alnylam Pharmaceuticals,http://www.the-scientist.com/?articles.view/articleNo/15965/title/Biotechs-Put-Initial-Public-Offerings-on-Hold/,https://en.wikipedia.org/wiki/Alnylam_Pharmaceuticals,,From Pharma Companies Category
Alzheon,http://www.alzheon.com,https://en.wikipedia.org/wiki/Alzheon,,From Pharma Companies Category
Ameridose,http://www.ameridose.com/,https://en.wikipedia.org/wiki/Ameridose,,From Pharma Companies Category
Amgen,https://www.amgenpipeline.com/,https://en.wikipedia.org/wiki/Amgen,,From Pharma Companies Category
Amneal Pharmaceuticals,http://amneal.com,https://en.wikipedia.org/wiki/Amneal_Pharmaceuticals,,From Pharma Companies Category
Amphastar Pharmaceuticals,https://www.amphastar.com/,https://en.wikipedia.org/wiki/Amphastar_Pharmaceuticals,,From Pharma Companies Category
Anthera Pharmaceuticals,http://www.anthera.com,https://en.wikipedia.org/wiki/Anthera_Pharmaceuticals,,From Pharma Companies Category
Apricus Biosciences,http://www.apricusbio.com,https://en.wikipedia.org/wiki/Apricus_Biosciences,,From Pharma Companies Category
Arena Pharmaceuticals,http://www.arenapharm.com/,https://en.wikipedia.org/wiki/Arena_Pharmaceuticals,,From Pharma Companies Category
Array BioPharma,https://www.arraybiopharma.com/,https://en.wikipedia.org/wiki/Array_BioPharma,,From Pharma Companies Category
Arrowhead Pharmaceuticals,http://arrowheadpharma.com,https://en.wikipedia.org/wiki/Arrowhead_Pharmaceuticals,,From Pharma Companies Category
Assertio Therapeutics,http://www.assertiotx.com,https://en.wikipedia.org/wiki/Assertio_Therapeutics,,From Pharma Companies Category
Avax Technologies,http://www.vical.com/products/cancer_therapies/allovectin-7.htm,https://en.wikipedia.org/wiki/Avax_Technologies,,From Pharma Companies Category
Avella Specialty Pharmacy,http://www.avella.com,https://en.wikipedia.org/wiki/Avella_Specialty_Pharmacy,,From Pharma Companies Category
Baxter International,http://baxter.com,https://en.wikipedia.org/wiki/Baxter_International,,From Pharma Companies Category
BeOne Medicines,http://www.beonemedicines.com/,https://en.wikipedia.org/wiki/BeOne_Medicines,,From Pharma Companies Category
Beam Therapeutics,http://beamtx.com,https://en.wikipedia.org/wiki/Beam_Therapeutics,,From Pharma Companies Category
BioCryst Pharmaceuticals,http://www.biocryst.com/,https://en.wikipedia.org/wiki/BioCryst_Pharmaceuticals,,From Pharma Companies Category
BioDuro,https://www.bioduro.com/,https://en.wikipedia.org/wiki/BioDuro,,From Pharma Companies Category
BioMarin Pharmaceutical,http://biomarin.com,https://en.wikipedia.org/wiki/BioMarin_Pharmaceutical,,From Pharma Companies Category
Biogen,http://biogen.com,https://en.wikipedia.org/wiki/Biogen,,From Pharma Companies Category
Biosplice Therapeutics,https://www.biosplice.com,https://en.wikipedia.org/wiki/Biosplice_Therapeutics,,From Pharma Companies Category
Biotechnology industry in Boston,http://www.conagen.com,https://en.wikipedia.org/wiki/Biotechnology_industry_in_Boston,,From Pharma Companies Category
Biovest,http://www.cellculturecompany.com,https://en.wikipedia.org/wiki/Biovest,,From Pharma Companies Category
Biovista,http://www.biovista.com/,https://en.wikipedia.org/wiki/Biovista,,From Pharma Companies Category
Block Drug,https://time.com/archive/6785689/new-products-the-teeth-of-battle/,https://en.wikipedia.org/wiki/Block_Drug,,From Pharma Companies Category
CSL Behring,http://www.cslbehring.com/,https://en.wikipedia.org/wiki/CSL_Behring,,From Pharma Companies Category
CSL Plasma,https://www.cslplasma.com/about-us,https://en.wikipedia.org/wiki/CSL_Plasma,,From Pharma Companies Category
Cambrex Corporation,http://cambrex.com,https://en.wikipedia.org/wiki/Cambrex_Corporation,,From Pharma Companies Category
Cannabis Science,https://imcannabis.com/,https://en.wikipedia.org/wiki/Cannabis_Science,,From Pharma Companies Category
Cassava Sciences,https://www.cassavasciences.com,https://en.wikipedia.org/wiki/Cassava_Sciences,,From Pharma Companies Category
Catalyst Pharmaceuticals,http://www.catalystpharma.com/,https://en.wikipedia.org/wiki/Catalyst_Pharmaceuticals,,From Pharma Companies Category
Cel-Sci Corporation,https://cel-sci.com/,https://en.wikipedia.org/wiki/Cel-Sci_Corporation,,From Pharma Companies Category
Cencora,https://cencora.com/,https://en.wikipedia.org/wiki/Cencora,,From Pharma Companies Category
Ceragenix Pharmaceuticals,http://nl.newsbank.com/nl-search/we/Archives?p_product=DP&p_theme=dp&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=112AFF6A427A3760&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM,https://en.wikipedia.org/wiki/Ceragenix_Pharmaceuticals,,From Pharma Companies Category
Cerevel Therapeutics,http://cerevel.com,https://en.wikipedia.org/wiki/Cerevel_Therapeutics,,From Pharma Companies Category
Charles River Laboratories,https://www.criver.com/about-us,https://en.wikipedia.org/wiki/Charles_River_Laboratories,,From Pharma Companies Category
Civica Rx,http://www.civicarx.org,https://en.wikipedia.org/wiki/Civica_Rx,,From Pharma Companies Category
Clovis Oncology,http://clovisoncology.com/products-companion-diagnostics,https://en.wikipedia.org/wiki/Clovis_Oncology,,From Pharma Companies Category
Combe Incorporated,http://combe.com,https://en.wikipedia.org/wiki/Combe_Incorporated,,From Pharma Companies Category
Corcept Therapeutics,https://www.korlym.com/,https://en.wikipedia.org/wiki/Corcept_Therapeutics,,From Pharma Companies Category
Crinetics Pharmaceuticals,https://crinetics.com,https://en.wikipedia.org/wiki/Crinetics_Pharmaceuticals,,From Pharma Companies Category
Curia (company),http://curiaglobal.com,https://en.wikipedia.org/wiki/Curia_(company),,From Pharma Companies Category
CytRx,http://www.cytrx.com/,https://en.wikipedia.org/wiki/CytRx,,From Pharma Companies Category
Cytokinetics,https://cytokinetics.com,https://en.wikipedia.org/wiki/Cytokinetics,,From Pharma Companies Category
Danco Laboratories,https://www.earlyoptionpill.com,https://en.wikipedia.org/wiki/Danco_Laboratories,,From Pharma Companies Category
Delix Therapeutics,http://delixtherapeutics.com,https://en.wikipedia.org/wiki/Delix_Therapeutics,,From Pharma Companies Category
Diffusion Pharmaceuticals,http://www.diffusionpharma.com,https://en.wikipedia.org/wiki/Diffusion_Pharmaceuticals,,From Pharma Companies Category
Editas Medicine,https://www.editasmedicine.com/about/,https://en.wikipedia.org/wiki/Editas_Medicine,,From Pharma Companies Category
Elanco,http://elanco.com,https://en.wikipedia.org/wiki/Elanco,,From Pharma Companies Category
Emergent BioSolutions,http://www.protectingourguardians.org/,https://en.wikipedia.org/wiki/Emergent_BioSolutions,,From Pharma Companies Category
Endocyte,https://www.endocyte.com,https://en.wikipedia.org/wiki/Endocyte,,From Pharma Companies Category
Esperion Therapeutics,http://www.esperion.com/,https://en.wikipedia.org/wiki/Esperion_Therapeutics,,From Pharma Companies Category
Exact Sciences Corp.,http://exactsciences.com,https://en.wikipedia.org/wiki/Exact_Sciences_Corp.,,From Pharma Companies Category
Excision BioTherapeutics,http://excision.bio,https://en.wikipedia.org/wiki/Excision_BioTherapeutics,,From Pharma Companies Category
Exploratory Science Center,http://www.mrlv.com,https://en.wikipedia.org/wiki/Exploratory_Science_Center,,From Pharma Companies Category
EyePoint Pharmaceuticals,http://www.psivida.com,https://en.wikipedia.org/wiki/EyePoint_Pharmaceuticals,,From Pharma Companies Category
FLAVORx,http://flavorx.com/,https://en.wikipedia.org/wiki/FLAVORx,,From Pharma Companies Category
Fabre-Kramer Pharmaceuticals,https://www.fabrekramer.com,https://en.wikipedia.org/wiki/Fabre-Kramer_Pharmaceuticals,,From Pharma Companies Category
FibroGen,http://fibrogen.com,https://en.wikipedia.org/wiki/FibroGen,,From Pharma Companies Category
Flexion Therapeutics,http://flexiontherapeutics.com/,https://en.wikipedia.org/wiki/Flexion_Therapeutics,,From Pharma Companies Category
Fortress Biotech,https://www.fortressbiotech.com/,https://en.wikipedia.org/wiki/Fortress_Biotech,,From Pharma Companies Category
Fractyl Health,http://fractyl.com,https://en.wikipedia.org/wiki/Fractyl_Health,,From Pharma Companies Category
G. D. Searle & Company,http://searlecompany.com,https://en.wikipedia.org/wiki/G._D._Searle_%26_Company,,From Pharma Companies Category
G.F. Harvey Company,,https://en.wikipedia.org/wiki/G.F._Harvey_Company,,From Pharma Companies Category
GE HealthCare,https://www.gehealthcare.com/,https://en.wikipedia.org/wiki/GE_HealthCare,,From Pharma Companies Category
GTx Incorporated,http://www.gtxinc.com/,https://en.wikipedia.org/wiki/GTx_Incorporated,,From Pharma Companies Category
Galena Biopharma,http://www.sellaslifesciences.com/,https://en.wikipedia.org/wiki/Galena_Biopharma,,From Pharma Companies Category
Genentech,http://www.gene.com/about-us,https://en.wikipedia.org/wiki/Genentech,,From Pharma Companies Category
Generate:Biomedicines,https://spectrum.ieee.org/generate-biomedicines-emerges-from-stealth-mode-and-takes-aim-at-covid19,https://en.wikipedia.org/wiki/Generate:Biomedicines,,From Pharma Companies Category
Genervon,http://www.genervon.com/genervon/about.php,https://en.wikipedia.org/wiki/Genervon,,From Pharma Companies Category
Gentech Pharmaceutical,http://www.nydailynews.com/life-style/health/drug-company-advertises-adderall-alternative-harvard-crimson-website-article-1.1150782,https://en.wikipedia.org/wiki/Gentech_Pharmaceutical,,From Pharma Companies Category
Gilgamesh Pharmaceuticals,https://www.gilgameshpharmaceutical.com/,https://en.wikipedia.org/wiki/Gilgamesh_Pharmaceuticals,,From Pharma Companies Category
Grail (company),https://grail.com,https://en.wikipedia.org/wiki/Grail_(company),,From Pharma Companies Category
Grand River Aseptic Manufacturing,https://www.grandriverasepticmfg.com/about/,https://en.wikipedia.org/wiki/Grand_River_Aseptic_Manufacturing,,From Pharma Companies Category
Harrow Health,http://www.harrow.com/,https://en.wikipedia.org/wiki/Harrow_Health,,From Pharma Companies Category
Help Remedies,http://www.businessweek.com/articles/2012-03-22/help-remediess-hip-pharma,https://en.wikipedia.org/wiki/Help_Remedies,,From Pharma Companies Category
Hospira,https://www.pfizerhospitalus.com,https://en.wikipedia.org/wiki/Hospira,,From Pharma Companies Category
IFM Therapeutics,http://ifmthera.com/,https://en.wikipedia.org/wiki/IFM_Therapeutics,,From Pharma Companies Category
ISTA Pharmaceuticals,http://www.istavision.com,https://en.wikipedia.org/wiki/ISTA_Pharmaceuticals,,From Pharma Companies Category
Incyte,http://incyte.com,https://en.wikipedia.org/wiki/Incyte,,From Pharma Companies Category
Intarcia Therapeutics,http://intarcia.com/,https://en.wikipedia.org/wiki/Intarcia_Therapeutics,,From Pharma Companies Category
Intellia Therapeutics,https://www.intelliatx.com,https://en.wikipedia.org/wiki/Intellia_Therapeutics,,From Pharma Companies Category
Johnson & Johnson,https://www.phrma.org/about,https://en.wikipedia.org/wiki/Johnson_%26_Johnson,,From Pharma Companies Category
Jones Pharma,http://www.thrombin-jmi.com/,https://en.wikipedia.org/wiki/Jones_Pharma,,From Pharma Companies Category
Juno Therapeutics,https://www.bms.com/,https://en.wikipedia.org/wiki/Juno_Therapeutics,,From Pharma Companies Category
Kadmon Corporation,https://kadmon.com,https://en.wikipedia.org/wiki/Kadmon_Corporation,,From Pharma Companies Category
KaloBios Pharmaceuticals,,https://en.wikipedia.org/wiki/KaloBios_Pharmaceuticals,,From Pharma Companies Category
KannaLife,http://kannalife.com/,https://en.wikipedia.org/wiki/KannaLife,,From Pharma Companies Category
Kinetic Concepts,http://www.kci1.com,https://en.wikipedia.org/wiki/Kinetic_Concepts,,From Pharma Companies Category
Leiner Health Products,http://www.findarticles.com/p/articles/mi_m5072/is_10_25/ai_99125165,https://en.wikipedia.org/wiki/Leiner_Health_Products,,From Pharma Companies Category
Lexicon Pharmaceuticals,http://lexpharma.com,https://en.wikipedia.org/wiki/Lexicon_Pharmaceuticals,,From Pharma Companies Category
Ligand Pharmaceuticals,http://ligand.com,https://en.wikipedia.org/wiki/Ligand_Pharmaceuticals,,From Pharma Companies Category
List of biotech and pharmaceutical companies in the New York metropolitan area,https://archive.today/20200213005001/http://factfinder.census.gov/bkmk/table/1.0/en/PEP/2015/GCTPEPANNR.US41PR,https://en.wikipedia.org/wiki/List_of_biotech_and_pharmaceutical_companies_in_the_New_York_metropolitan_area,,From Pharma Companies Category
List of companies based in the San Francisco Bay Area,https://www.eastbaytimes.com/2015/06/04/hayward-manufacturer-turns-diesel-burning-trucks-into-all-electric-vehicles/,https://en.wikipedia.org/wiki/List_of_companies_based_in_the_San_Francisco_Bay_Area,,From Bay Area Companies Category
Locus Biosciences,http://www.locus-bio.com/,https://en.wikipedia.org/wiki/Locus_Biosciences,,From Pharma Companies Category
Lundbeck Seattle Biopharmaceuticals,https://www.seattletimes.com/business/alder-biopharma-developer-of-migraine-drug-candidate-acquired-for-up-to-2-billion/,https://en.wikipedia.org/wiki/Lundbeck_Seattle_Biopharmaceuticals,,From Pharma Companies Category
Lykos Therapeutics,https://lykospbc.com/,https://en.wikipedia.org/wiki/Lykos_Therapeutics,,From Pharma Companies Category
Mapp Biopharmaceutical,http://www.leafbio.com/,https://en.wikipedia.org/wiki/Mapp_Biopharmaceutical,,From Pharma Companies Category
Marathon Pharmaceuticals,https://www.rarediseases.org/,https://en.wikipedia.org/wiki/Marathon_Pharmaceuticals,,From Pharma Companies Category
McGuff Companies,http://www.ivnutritionaltherapy.com/,https://en.wikipedia.org/wiki/McGuff_Companies,,From Pharma Companies Category
McKesson Corporation,http://mckesson.com,https://en.wikipedia.org/wiki/McKesson_Corporation,,From Pharma Companies Category
McNeil Consumer Healthcare,http://www.pharmexec.com/hba-woman-year-jj-s-denice-torres,https://en.wikipedia.org/wiki/McNeil_Consumer_Healthcare,,From Pharma Companies Category
"Medical Marijuana, Inc.",http://medicalmarijuanainc.com/,"https://en.wikipedia.org/wiki/Medical_Marijuana,_Inc.",,From Pharma Companies Category
Melinta Therapeutics,https://melinta.com/,https://en.wikipedia.org/wiki/Melinta_Therapeutics,,From Pharma Companies Category
Melior Discovery,https://www.meliordiscovery.com,https://en.wikipedia.org/wiki/Melior_Discovery,,From Pharma Companies Category
Mentholatum,https://cris.parks.ny.gov/,https://en.wikipedia.org/wiki/Mentholatum,,From Pharma Companies Category
